scope,task_type,task_name_repo,task_name_encompass,status,field,repo_value,encompass_value,repo_file,encompass_file
task,Processing_ServiceOrders_FraudX,,Order FraudX,ENCOMPASS_ONLY,,,4 subtask(s),,tasks3.xml
task,Processing_ServiceOrders_SSVN,,Order SSVN,ENCOMPASS_ONLY,,,1 subtask(s),,tasks3.xml
task,Underwriting_ContractUWApproval,,Contract UW Approval,ENCOMPASS_ONLY,,,1 subtask(s),,tasks4.xml
task,Underwriting_Counter_Second,,Counteroffer Second Review,ENCOMPASS_ONLY,,,1 subtask(s),,tasks2 (1).xml
task,Underwriting_Denial_Second,,Denial – Second Look,ENCOMPASS_ONLY,,,1 subtask(s),,tasks2 (1).xml
task,Underwriting_Resubmittal_AppraisalReviewFollow,,Appraisal - Ready in ValueLink Follow Up,ENCOMPASS_ONLY,,,0 subtask(s),,tasks3.xml
task,Underwriting_Resubmittal_ReviewPAR2,,Review PAR (2nd Review),ENCOMPASS_ONLY,,,4 subtask(s),,tasks3.xml
task,auto_2d3dfd67-84a6-4d55-a443-23a2d8ba79c7,,OFAC,ENCOMPASS_ONLY,,,0 subtask(s),,tasks7.xml
task,auto_7d75e7e7-32bd-438c-aa31-46bf68fe03db,,Funding QC,ENCOMPASS_ONLY,,,2 subtask(s),,tasks7.xml
task,auto_931feddf-bfbb-4d68-8621-89aef47a46e6,,Broker  Disclosures,ENCOMPASS_ONLY,,,3 subtask(s),,tasks6.xml
task,auto_d8e42d32-3cab-4b9b-980d-d36ade5e8d79,,Send Initial Disclosures,ENCOMPASS_ONLY,,,0 subtask(s),,tasks7.xml
task,FundingQC_Fraud_X_Report,Fraud X Report,,REPO_ONLY,,6 subtask(s),,tasks/6_pre-closing-qc/funding-qc/fraudx_v1.xml,
task,Funding_Boarding_BoardLoan,Board Loan,,REPO_ONLY,,1 subtask(s),,tasks/5_funding/boarding/board_loan_v1.xml,
task,PostClosingQC_DocumentProcessing_DeliverMortgage,Deliver Mortgage,,REPO_ONLY,,4 subtask(s),,tasks/7_post-closing-qc/document_processing/deliver_mortgage_v1.xml,
task,PostClosingQC_DocumentProcessing_DeliverNote,Deliver Note,,REPO_ONLY,,4 subtask(s),,tasks/7_post-closing-qc/document_processing/deliver_note_v1.xml,
task,PostClosingQC_DocumentProcessing_DocumentReceipt,Document Receipt,,REPO_ONLY,,2 subtask(s),,tasks/7_post-closing-qc/document_processing/document_receipt_v1.xml,
task,PostClosingQC_DocumentProcessing_PhysicalPackageReceipt,Physical Package Receipt,,REPO_ONLY,,1 subtask(s),,tasks/7_post-closing-qc/document_processing/physical_package_receipt_v1.xml,
task,PostClosingQC_DocumentProcessing_RecordMortgage,Record Mortgage,,REPO_ONLY,,8 subtask(s),,tasks/7_post-closing-qc/document_processing/record_mortgage_v1.xml,
task,PostClosingQC_DocumentProcessing_RecordingConfirmation,Recording Confirmation,,REPO_ONLY,,1 subtask(s),,tasks/7_post-closing-qc/document_processing/recording_confirmation_v1.xml,
task,PostClosingQC_DocumentProcessing_TransferToColdStorage,Transfer to Cold Storage,,REPO_ONLY,,1 subtask(s),,tasks/7_post-closing-qc/document_processing/transfer_to_cold_storage_v1.xml,
task,PostClosingQC_QualityAssurance_ClosingDocReview,Closing Document Quality Assurance,,REPO_ONLY,,4 subtask(s),,tasks/7_post-closing-qc/quality_assurance/closing_document_quality_assurance_v1.xml,
task,PostClosingQC_QualityAssurance_PreClosingDocReview,Pre-Closing Document Quality Assurance,,REPO_ONLY,,3 subtask(s),,tasks/7_post-closing-qc/quality_assurance/pre_closing_document_quality_assurance_v1.xml,
task,Processing_Disclosures_CreditScoreDisclosure,Credit Score Disclosure,,REPO_ONLY,,6 subtask(s),,tasks/2_processing/credit_score_disclosure/credit_score_disclosure_v1.xml,
task,Processing_Disclosures_NoticeOfIncomplete,Notice of Incomplete,,REPO_ONLY,,2 subtask(s),,tasks/2_processing/disclosures/notice_of_incomplete_v1.xml,
task,Processing_FileSetup_SendDisclosures,Send Disclosures,,REPO_ONLY,,9 subtask(s),,tasks/2_processing/disclosures/send_disclosures_v1.xml,
task,Processing_ServiceOrders_OrderSSA89,Order SSA-89,,REPO_ONLY,,0 subtask(s),,tasks/2_processing/ssa89/order_ssa89_v1.xml,
task,Processing_ServiceOrders_OrderTaxTranscripts,Order Tax Transcripts,,REPO_ONLY,,0 subtask(s),,tasks/2_processing/tax_transcripts/order_tax_transcripts_v1.xml,
task,Underwriting_Resubmittal_SendAVM,Send AVM,,REPO_ONLY,,1 subtask(s),,tasks/3_underwriting/resubmittal/send_avm_v1.xml,
task,Closing_ClosingSetup_ClosingSetup,Closing Setup,Closing Setup,BOTH,autocomplete,false,true,tasks/4_closing/closing_setup/closing_setup_v1.xml,tasks1.xml
task,Closing_ClosingSetup_ClosingSetup,Closing Setup,Closing Setup,BOTH,taskGroupTemplateName,Closing,,tasks/4_closing/closing_setup/closing_setup_v1.xml,tasks1.xml
association,Closing_ClosingSetup_ClosingSetup,Closing Setup,Closing Setup,ENCOMPASS_ONLY,Assignee,,Closer,tasks/4_closing/closing_setup/closing_setup_v1.xml,tasks1.xml
association,Closing_ClosingSetup_ClosingSetup,Closing Setup,Closing Setup,ENCOMPASS_ONLY,custom-form-workspaceoverride-0,,HELOC Quick Entry,tasks/4_closing/closing_setup/closing_setup_v1.xml,tasks1.xml
association,Closing_ClosingSetup_ClosingSetup,Closing Setup,Closing Setup,ENCOMPASS_ONLY,document-workspaceoverride-1,,Appraisal Check,tasks/4_closing/closing_setup/closing_setup_v1.xml,tasks1.xml
association,Closing_ClosingSetup_ClosingSetup,Closing Setup,Closing Setup,ENCOMPASS_ONLY,document-workspaceoverride-1,,Title Report,tasks/4_closing/closing_setup/closing_setup_v1.xml,tasks1.xml
association,Closing_ClosingSetup_ClosingSetup,Closing Setup,Closing Setup,ENCOMPASS_ONLY,standard-form-workspaceoverride-0,,Borrower Information,tasks/4_closing/closing_setup/closing_setup_v1.xml,tasks1.xml
association,Closing_ClosingSetup_ClosingSetup,Closing Setup,Closing Setup,ENCOMPASS_ONLY,workspace,,Closing Setup,tasks/4_closing/closing_setup/closing_setup_v1.xml,tasks1.xml
association,Closing_ClosingSetup_ClosingSetup,Closing Setup,Closing Setup,REPO_ONLY,Assignee,Loan Processor,,tasks/4_closing/closing_setup/closing_setup_v1.xml,tasks1.xml
task,Closing_ClosingSetup_PreparePayoffLetters,Prepare Payoff Letters,Prepare Payoff Letters,BOTH,autocomplete,false,true,tasks/4_closing/closing_setup/prepare_payoff_letters_v1.xml,tasks2 (1).xml
task,Closing_ClosingSetup_PreparePayoffLetters,Prepare Payoff Letters,Prepare Payoff Letters,BOTH,taskGroupTemplateName,Closing,,tasks/4_closing/closing_setup/prepare_payoff_letters_v1.xml,tasks2 (1).xml
association,Closing_ClosingSetup_PreparePayoffLetters,Prepare Payoff Letters,Prepare Payoff Letters,ENCOMPASS_ONLY,Assignee,,Closer,tasks/4_closing/closing_setup/prepare_payoff_letters_v1.xml,tasks2 (1).xml
association,Closing_ClosingSetup_PreparePayoffLetters,Prepare Payoff Letters,Prepare Payoff Letters,ENCOMPASS_ONLY,workspace,,Payoff Prep,tasks/4_closing/closing_setup/prepare_payoff_letters_v1.xml,tasks2 (1).xml
association,Closing_ClosingSetup_PreparePayoffLetters,Prepare Payoff Letters,Prepare Payoff Letters,REPO_ONLY,Assignee,Loan Processor,,tasks/4_closing/closing_setup/prepare_payoff_letters_v1.xml,tasks2 (1).xml
task,Closing_DocPrep_CreateClosingPackage,Create Closing Package,Create Closing Package,BOTH,autocomplete,false,true,tasks/4_closing/doc_prep/create_closing_package_v1.xml,tasks1.xml
